Absage,-1,ablehnen,-1,3.5
Absage,-1,Stellenanzeige,219416,1.875
Affe,45744,Gepäckkontrolle,-1,0.125
Affe,45744,Makake,420332,4.0
Afrika,-1,historisch,1837,1.0
Agentur,132587,Irrtum,123144,0.0
Airbag,33717,Kopfairbag,-1,3.875
analysieren,37761,Analyse,37761,3.875
Ansehen,91983,Schaden,96440,0.875
Arbeitssuchende,17179,Bewerbung,2560037,2.75
aufklären,-1,erklären,1087517,2.5
Aufpreis,-1,Grundpreis,2537043,3.125
Aufstieg,236886,Erfolg,87624,3.25
aufzeichnen,363587,schreiben,26866,2.75
Aussage,16577,Auftritt,1233464,1.375
Aussage,16577,Rede,46757,2.375
Aussage,16577,sagen,-1,3.375
Aussterben,59590,bedrohen,-1,2.125
Auto,219,fahren,-1,3.5
Bayern,475,bayerisch,475,4.0
Bayern,475,Deutschland,1497705,3.5
Bayern,475,weißblau,-1,2.75
Beamter,5880494,Amt,120388,3.625
beginnen,-1,dauern,-1,2.375
begründen,1677606,ausgehen,-1,0.875
Behörde,47038,Vorschrift,112898,2.75
beinhalten,-1,umfassen,-1,3.25
Benedetto,-1,Benedikt,146649,3.625
Benziner,18569,Dieselversion,18540,3.0
Berlin,2552494,Berlin-Kreuzberg,2813,3.375
Berufstätigkeit,382049,Erfolg,87624,2.125
beschleunigen,282867,übertreiben,-1,1.125
beschuldigen,-1,Mitschuld,4828,2.5
Besucher,39824,bekommen,-1,1.375
Bewerbung,2560037,Job,33605,2.375
Bild,3945459,ähneln,-1,1.375
Bild,3945459,Grafik,11421,3.125
Bild,3945459,Röntgenaufnahme,304974,3.0
Bild,12692,Symbol,2676415,2.125
Bild,-1,visuell,286637,3.0
Böse,195406,Gott,18194,2.0
Botschaft,-1,sichtbar,-1,0.25
Büro,105211,Schreibtisch,215674,3.0
Demut,170855,demütig,170855,4.0
demütig,170855,selbstbewußt,-1,1.875
Design,11727,Optik,3748,2.625
Designer,24527,Eleganz,544105,2.625
deutsch,1382499,Bundesbürger,558792,3.5
Deutschland,1497705,Europa,10108,3.25
Ding,10521,Gegenstand,20865,4.0
Doktorandin,51608,Abteilung,171549,1.875
Doktorandin,51608,Dissertationsthema,16983,2.625
Drehmoment,14774,drehfreudig,-1,1.75
dringend,-1,rasch,-1,2.375
Durchsicht,124432,sehen,286637,2.75
einfach,487479,komplex,59658,2.75
Einkommen,78442,Gehaltsunterschied,-1,2.0
Einrichtung,-1,Interior,-1,3.5
Einsamkeit,173026,allein,-1,3.5
einsteigen,-1,aussteigen,-1,2.75
Eleganz,544105,klobig,-1,1.375
Eltern,8668,Vater,8666,3.5
entgehen,-1,bewundern,-1,0.125
entwickeln,-1,Entwicklungschef,-1,2.625
Erfolg,87624,erfolgreich,-1,4.0
Erfolg,87624,Maßstab,19842,1.25
erforschen,1637,herausfinden,-1,3.125
Erhalt,-1,bedroht,-1,1.0
erkennen,-1,sehen,286637,3.0
erklären,1087517,begründen,1677606,2.5
erklären,1087517,machen,-1,0.5
ernst,-1,ironisch,33929,2.0
erst,-1,Ursprugsort,-1,1.375
Erwachsene,224537,Geist,1933,0.0
Erwachsene,224537,Kind,8654,2.625
erwarten,-1,klären,-1,0.0
fahren,-1,Automobil,219,3.0
filtern,-1,herausfiltern,-1,3.625
filtern,-1,selektieren,-1,3.375
finden,-1,herausfinden,-1,3.0
Fisch,13488,schwimmen,18804,3.375
Flaschenöffner,182376,Küchenwerkzeug,402439,3.625
fokussieren,-1,Aufmerksamkeit,14703,2.625
folgen,-1,sortieren,-1,0.25
Form,-1,Farbe,1733,2.125
formulieren,-1,Formulierung,-1,3.875
Formulierung,-1,Stiftung,156362,0.125
Forscher,1637,Wissenschaftler,-1,3.875
Frage,15663,Antwort,-1,3.25
Franzose,-1,deutsch,-1,2.375
Frau,303401,Familie,149666,2.75
Frau,303401,Mann,280427,3.25
Frühlingssonne,-1,kitzeln,369247,1.25
Frust,146039,frustrieren,-1,3.875
Frust,146039,Leidensgenosse,-1,1.875
Frust,146039,Rache,136227,1.875
geben,-1,nehmen,-1,3.25
Gefühl,41214,Frau,303401,1.75
Gegenwind,786709,kritisieren,11613,0.5
Gehege,191103,Zoo,57749,2.625
Gehirn,8371,Kortex,131687,3.25
Gehirn,8371,verstehen,123265,2.125
gemeinsam,-1,leben,40602,1.0
Generation,36919,Jugendliche,4853808,2.5
geografisch,1790,praktisch,-1,0.125
Gepäckkontrolle,-1,Flughafen,15771,3.125
Gepäcknetz,-1,Staumöglichkeit,-1,2.25
Geschirrdurcheinander,-1,Menschenleben,-1,0.5
Geschlecht,-1,Mann,280427,3.0
Gewalt,496967,Friede,-1,2.625
Gewalt,496967,Kämpfer,150172,2.625
Gewicht,9034,Karriere,135888,0.375
Glaube,-1,natürlich,3615,0.5
Glück,46079,glücklich,46079,3.875
Gorilla,2095,Schlange,1402607,1.25
großzügig,-1,schrumpfen,-1,0.5
gründen,-1,Arbeitsgruppe,76262,0.75
Grundlagenforschung,55460,verstehen,123265,1.625
Hand,37789,Erwachsene,224537,1.375
Hand,37789,Mensch,3322,2.75
heimisch,-1,Urwaldhaus,-1,1.0
helfen,2105,unterstützen,-1,3.375
herausstreichen,-1,öffentlich,-1,0.5
Herkunft,-1,Geschlecht,-1,1.375
Hintergrund,-1,Fassade,-1,2.0
Hirn,-1,Gehirn,8371,3.875
Hirnsignal,-1,Neuronenaktivität,-1,3.5
Hoffnung,101604,Resignation,652730,2.75
Honorarbasis,120235,bezahlen,-1,3.0
Hunderttausend,-1,Menge,-1,3.0
Hunger,48250,Armut,3050364,2.875
Inaugurationsmesse,-1,Premiere,301501,2.125
